给予	gwyu#直	给ʲⁱ̌予	core
事	oxu#16	事	symbol
书	oxu#17	书	symbol
束	oxu#18	束	symbol
勺	oxu#19	勺	symbol
戍	oxu#20	戍	symbol
豕	oxu#21	豕	symbol
氏	oxu#22	氏	symbol
矢	oxu#23	矢	symbol
止	oxv#1	止	symbol
爪	oxv#2	爪	symbol
主	oxv#3	主	symbol
舟	oxv#4	舟	symbol
之	oxv#5	之	symbol
正	oxv#6	正	symbol
丈	oxv#7	丈	symbol
中	oxv#8	中	symbol
专	oxv#9	专	symbol
朱	oxv#10	朱	symbol
州	oxv#11	州	symbol
重	oxv#12	重	symbol
乍	oxv#13	乍	symbol
王	oxw#1	王	symbol
瓦	oxw#2	瓦	symbol
五	oxw#3	五	symbol
无	oxw#4	无	symbol
万	oxw#5	万	symbol
午	oxw#6	午	symbol
亡	oxw#7	亡	symbol
未	oxw#8	未	symbol
乌	oxw#9	乌	symbol
韦	oxw#10	韦	symbol
勿	oxw#11	勿	symbol
为	oxw#12	为	symbol
戊	oxw#13	戊	symbol
我	oxw#14	我	symbol
丸	oxw#15	丸	symbol
兀	oxw#16	兀	symbol
小	oxx#1	小	symbol
西	oxx#2	西	symbol
心	oxx#3	心	symbol
血	oxx#4	血	symbol
下	oxx#5	下	symbol
夕	oxx#6	夕	symbol
乡	oxx#7	乡	symbol
习	oxx#8	习	symbol
戌	oxx#9	戌	symbol
又	oxy#1	又	symbol
酉	oxy#2	酉	symbol
已	oxy#3	已	symbol
于	oxy#4	于	symbol
义	oxy#5	义	symbol
与	oxy#6	与	symbol
夭	oxy#7	夭	symbol
玉	oxy#8	玉	symbol
牙	oxy#9	牙	symbol
丫	oxy#10	丫	symbol
永	oxy#11	永	symbol
尤	oxy#12	尤	symbol
也	oxy#13	也	symbol
业	oxy#14	业	symbol
由	oxy#15	由	symbol
央	oxy#16	央	symbol
亚	oxy#17	亚	symbol
严	oxy#18	严	symbol
用	oxy#19	用	symbol
幺	oxy#20	幺	symbol
禺	oxy#21	禺	symbol
臾	oxy#22	臾	symbol
尹	oxy#23	尹	symbol
禹	oxy#24	禹	symbol
夷	oxy#25	夷	symbol
弋	oxy#26	弋	symbol
聿	oxy#27	聿	symbol
雨	oxy#28	雨	symbol
曳	oxy#29	曳	symbol
再	oxz#1	再	symbol
自	oxz#2	自	symbol
子	oxz#3	子	symbol
