kind	left	middle	right	count
bigram	事业		单位	1174
bigram	事业		发展	497
bigram	事件		发生	388
bigram	事实		证明	382
bigram	二十		世纪	337
bigram	二级		市场	585
bigram	亚太		地区	339
bigram	交易		市场	341
bigram	交流		平台	2392
bigram	交通		事故	622
bigram	交通		工具	405
bigram	交通		运输	387
bigram	交通		银行	421
bigram	产业		发展	897
bigram	产业		结构	595
bigram	产业		集群	311
bigram	产品		价格	533
bigram	产品		出口	243
bigram	产品		开发	301
bigram	产品		设计	299
bigram	产品		质量	1126
bigram	产品		销售	250
bigram	产生		影响	259
bigram	亲密		接触	287
bigram	亲朋		好友	383
bigram	亲身		经历	329
bigram	人与		自然	312
bigram	人事		部门	251
bigram	人力		资源	1462
bigram	人均		收入	253
bigram	人大		代表	962
bigram	人才		培养	497
bigram	人才		市场	492
bigram	人民		医院	586
bigram	人民		广场	259
bigram	人民		政府	2666
bigram	人民		日报	368
bigram	人民		法院	1207
bigram	人民		群众	1945
bigram	人民		银行	300
bigram	人类		文明	257
bigram	人类		社会	497
bigram	人身		攻击	393
bigram	人道		主义	272
bigram	人都		知道	702
bigram	人际		关系	776
bigram	什么		东西	1754
bigram	什么		事情	1124
bigram	什么		关系	635
bigram	什么		原因	825
bigram	什么		地方	1209
bigram	什么		情况	309
bigram	什么		意思	56562
bigram	什么		时候	56872
bigram	什么		时间	274
bigram	什么		样子	808
bigram	什么		程度	260
bigram	什么		问题	988
bigram	仅供		参考	787
bigram	今天		中午	25000
bigram	今天		天气	1800
bigram	今天		星期一	30000
bigram	今天		星期三	30000
bigram	今天		星期二	30000
bigram	今天		星期五	30000
bigram	今天		星期六	30000
bigram	今天		星期四	30000
bigram	今天		星期日	30000
bigram	今天		晚上	26000
bigram	今年		以来	644
bigram	介绍		一下	897
bigram	从业		人员	822
bigram	从来		没有	2546
bigram	仔细		阅读	530
bigram	代表		人物	278
bigram	代表		大会	353
bigram	令人		满意	276
bigram	以上		学历	387
bigram	以下		几点	274
bigram	以下		简称	739
bigram	以为		自己	745
bigram	以及		其他	629
bigram	价值		取向	254
bigram	价值		投资	255
bigram	价格		上涨	913
bigram	任何		一种	281
bigram	任何		东西	292
bigram	任何		事情	389
bigram	任何		地方	244
bigram	任何		时候	440
bigram	企业		内部	390
bigram	企业		发展	585
bigram	企业		名称	243
bigram	企业		文化	873
bigram	企业		管理	583
bigram	企业		经营	268
bigram	企业		集团	335
bigram	休息		一下	317
bigram	优化		大师	333
bigram	优惠		政策	879
bigram	优秀		人才	268
bigram	优质		服务	481
bigram	伙伴		关系	257
bigram	会议		精神	265
bigram	传统		媒体	300
bigram	传统		文化	749
bigram	低空		经济	500
bigram	体制		改革	708
bigram	体系		建设	505
bigram	体系		结构	256
bigram	体育		运动	314
bigram	作为		一名	466
bigram	作品		内容	1250
bigram	你是		什么	27000
bigram	你的		帮助	26000
bigram	你的		意思	25000
bigram	使用		作品	663
bigram	使用		寿命	354
bigram	使用		情况	281
bigram	使用		方法	436
bigram	供求		信息	246
bigram	供求		关系	266
bigram	依法		行政	373
bigram	促进		作用	264
bigram	促销		活动	450
bigram	保健		食品	272
bigram	保护		条例	793
bigram	保护		自己	494
bigram	保险		公司	1783
bigram	信息		中心	631
bigram	信息		产业	331
bigram	信息		发布	355
bigram	信息		安全	411
bigram	信息		技术	1028
bigram	信息		披露	381
bigram	信息		服务	846
bigram	信息		系统	748
bigram	信息		网络	243
bigram	信息		资源	384
bigram	值得		一提	485
bigram	值得		关注	398
bigram	值得		期待	272
bigram	值得		注意	416
bigram	做大		做强	440
bigram	做好		准备	340
bigram	健康		发展	974
bigram	健康		成长	289
bigram	健康		教育	254
bigram	健康		状况	251
bigram	兄弟		姐妹	741
bigram	充分		体现	543
bigram	充分		利用	1237
bigram	充分		发挥	1778
bigram	充分		考虑	401
bigram	充分		肯定	446
bigram	充分		认识	425
bigram	充满		信心	310
bigram	充满		活力	270
bigram	先进		技术	398
bigram	免费		下载	367
bigram	免费		提供	348
bigram	党员		干部	723
bigram	党委		书记	678
bigram	党建		工作	282
bigram	全体		员工	247
bigram	全国		人大	535
bigram	全国		人民	714
bigram	全国		各地	1297
bigram	全球		最大	521
bigram	全球		经济	411
bigram	全面		发展	514
bigram	全面		推进	419
bigram	全面		提升	243
bigram	全面		提高	257
bigram	八十		年代	584
bigram	公共		交通	278
bigram	公共		利益	271
bigram	公共		卫生	418
bigram	公共		场所	373
bigram	公共		服务	623
bigram	公共		汽车	452
bigram	公司		内部	302
bigram	公司		治理	307
bigram	公司		注册	319
bigram	公安		分局	350
bigram	公安		机关	1516
bigram	公安		部门	404
bigram	公平		竞争	251
bigram	公开		发行	317
bigram	公益		事业	350
bigram	共产		主义	740
bigram	共产		党员	588
bigram	共同		努力	605
bigram	共同		发展	301
bigram	关于		加强	332
bigram	关联		交易	306
bigram	关键		在于	547
bigram	关键		技术	376
bigram	关键		时刻	633
bigram	其他		国家	714
bigram	其他		地区	287
bigram	其他		地方	2014
bigram	其他		媒体	610
bigram	其它		媒体	489
bigram	其它		问题	337
bigram	具体		内容	266
bigram	具体		情况	734
bigram	具体		要求	281
bigram	具有		良好	387
bigram	具有		较强	285
bigram	养老		保险	516
bigram	内容		包括	321
bigram	内心		世界	257
bigram	再也		没有	715
bigram	农业		生产	612
bigram	农业		科技	350
bigram	农村		经济	309
bigram	农民		增收	439
bigram	准备		工作	797
bigram	几个		小时	657
bigram	几个		方面	523
bigram	几个		问题	479
bigram	几乎		所有	996
bigram	几乎		没有	1000
bigram	凤凰		卫视	395
bigram	出乎		意料	299
bigram	出口		企业	310
bigram	出口		退税	293
bigram	出国		留学	280
bigram	出席		会议	434
bigram	出现		问题	628
bigram	分支		机构	494
bigram	切实		加强	470
bigram	切身		利益	359
bigram	刑事		案件	270
bigram	刚刚		开始	442
bigram	创建		一个	411
bigram	创新		精神	267
bigram	创新		能力	448
bigram	创造		条件	292
bigram	创造		良好	256
bigram	初步		形成	261
bigram	初级		阶段	331
bigram	利益		集团	309
bigram	别太		离谱	1600
bigram	别有		用心	300
bigram	到哪		里去	513
bigram	到处		都是	583
bigram	到家		说一声	1600
bigram	制度		建设	397
bigram	制度		改革	366
bigram	制造		企业	246
bigram	前三		季度	377
bigram	前段		时间	1104
bigram	功能		已经	1500
bigram	功能		强大	321
bigram	加工		企业	294
bigram	加工		贸易	281
bigram	加快		发展	545
bigram	加快		推进	363
bigram	动感		地带	335
bigram	努力		学习	247
bigram	努力		工作	286
bigram	努力		提高	298
bigram	劳务		输出	270
bigram	劳动		保障	746
bigram	劳动		关系	393
bigram	劳动		合同	1015
bigram	募集		资金	428
bigram	北京		地区	343
bigram	北京		大学	1151
bigram	北京		奥运	519
bigram	北京		时间	694
bigram	区域		经济	271
bigram	医疗		保险	614
bigram	医疗		卫生	540
bigram	医疗		器械	495
bigram	医疗		服务	363
bigram	医疗		机构	760
bigram	医疗		费用	316
bigram	医院		检查	360
bigram	十分		重要	596
bigram	十字		路口	386
bigram	千万		不能	318
bigram	千万		不要	1501
bigram	千千		万万	253
bigram	千千		静听	264
bigram	千里		之外	300
bigram	半个		小时	920
bigram	协调		发展	622
bigram	南京		大学	265
bigram	南方		周末	247
bigram	博士		学位	430
bigram	占地		面积	273
bigram	卡巴		斯基	1564
bigram	即将		到来	363
bigram	即时		零售	500
bigram	却不		知道	374
bigram	历史		悠久	289
bigram	历史		文化	440
bigram	原因		之一	544
bigram	原来		如此	410
bigram	原油		价格	246
bigram	去年		同期	803
bigram	县委		书记	367
bigram	县级		以上	443
bigram	参加		工作	264
bigram	参加		活动	414
bigram	又是		一个	601
bigram	友情		链接	417
bigram	反应		很慢	24000
bigram	发展		前景	576
bigram	发展		壮大	382
bigram	发展		成为	389
bigram	发展		战略	782
bigram	发展		方向	750
bigram	发展		机遇	281
bigram	发展		模式	324
bigram	发展		潜力	342
bigram	发展		目标	333
bigram	发展		空间	551
bigram	发展		经济	257
bigram	发展		规划	554
bigram	发展		起来	374
bigram	发展		趋势	978
bigram	发展		过程	439
bigram	发展		速度	329
bigram	发展		道路	259
bigram	发展		阶段	391
bigram	发布		公告	264
bigram	发扬		光大	253
bigram	发挥		作用	438
bigram	发现		自己	1539
bigram	发现		问题	317
bigram	发生		什么	363
bigram	发生		冲突	272
bigram	发生		变化	650
bigram	发自		内心	362
bigram	发表		声明	283
bigram	发表		意见	265
bigram	发表		文章	404
bigram	发表		言论	2262
bigram	发表		评论	1174
bigram	发达		国家	1642
bigram	发达		地区	354
bigram	取得		成功	298
bigram	取得		联系	352
bigram	受到		影响	441
bigram	变形		金刚	1828
bigram	变得		更加	456
bigram	口口		声声	269
bigram	另一		个人	396
bigram	另一		方面	2620
bigram	可不		可以	1299
bigram	可以		上网	264
bigram	可以		下载	352
bigram	可以		买到	327
bigram	可以		享受	384
bigram	可以		作为	410
bigram	可以		使用	1459
bigram	可以		分为	281
bigram	可以		利用	575
bigram	可以		实现	671
bigram	可以		帮助	612
bigram	可以		得到	763
bigram	可以		找到	573
bigram	可以		接受	475
bigram	可以		提供	403
bigram	可以		根据	882
bigram	可以		满足	364
bigram	可以		理解	818
bigram	可以		用来	413
bigram	可以		申请	261
bigram	可以		直接	1317
bigram	可以		看出	1533
bigram	可以		看到	2449
bigram	可以		看见	303
bigram	可以		考虑	840
bigram	可以		获得	581
bigram	可以		说是	1933
bigram	可以		达到	548
bigram	可以		选择	1460
bigram	可以		通过	2953
bigram	可以		采用	260
bigram	可以		随时	497
bigram	可口		可乐	555
bigram	可能		出现	787
bigram	可能		发生	479
bigram	可能		成为	524
bigram	台湾		地区	370
bigram	台湾		当局	244
bigram	司法		机关	363
bigram	司法		考试	265
bigram	司法		解释	248
bigram	各个		方面	556
bigram	各个		环节	295
bigram	各位		朋友	325
bigram	各式		各样	446
bigram	各界		人士	271
bigram	各种		各样	1334
bigram	各种		形式	269
bigram	各级		党委	244
bigram	各级		政府	723
bigram	各级		领导	251
bigram	各项		工作	923
bigram	合作		伙伴	1614
bigram	合作		关系	612
bigram	合作		协议	409
bigram	合作		项目	249
bigram	合法		权益	1164
bigram	合资		企业	330
bigram	合资		公司	412
bigram	同比		增长	990
bigram	同济		大学	270
bigram	同类		产品	348
bigram	告诉		大家	650
bigram	告诉		自己	406
bigram	告诉		记者	3328
bigram	周末		一起	1200
bigram	周末		见面	1600
bigram	周边		地区	293
bigram	呼叫		中心	306
bigram	和谐		发展	300
bigram	和谐		社会	1494
bigram	咨询		公司	368
bigram	咨询		服务	394
bigram	咨询		机构	439
bigram	咨询		电话	345
bigram	品牌		形象	369
bigram	哈佛		大学	244
bigram	哈利		波特	629
bigram	哈哈		哈哈	4410
bigram	哈哈		大笑	371
bigram	售后		服务	1122
bigram	唱片		公司	569
bigram	商业		地产	414
bigram	商业		模式	492
bigram	商业		贿赂	344
bigram	商业		银行	1614
bigram	啊啊		啊啊	639
bigram	回复		日期	100000
bigram	回头		细说	1600
bigram	回答		问题	270
bigram	困难		群众	247
bigram	固定		不变	299
bigram	固定		电话	313
bigram	固定		资产	660
bigram	国产		手机	314
bigram	国内		企业	367
bigram	国内		市场	762
bigram	国土		资源	318
bigram	国家		利益	363
bigram	国家		安全	668
bigram	国家		政策	267
bigram	国家		机关	325
bigram	国家		标准	576
bigram	国家		电网	1600
bigram	国家		规定	422
bigram	国家		重点	247
bigram	国有		企业	1410
bigram	国有		资产	795
bigram	国民		经济	1104
bigram	国防		部长	270
bigram	国际		合作	295
bigram	国际		品牌	281
bigram	国际		市场	1221
bigram	国际		机场	309
bigram	国际		标准	416
bigram	国际		油价	268
bigram	国际		社会	693
bigram	国际		米兰	505
bigram	国际		贸易	666
bigram	圆满		完成	255
bigram	土地		利用	283
bigram	土地		资源	272
bigram	在此		之前	361
bigram	在线		观看	306
bigram	在这		方面	908
bigram	地方		政府	1570
bigram	地理		位置	556
bigram	地质		灾害	319
bigram	坚决		反对	298
bigram	坚持		不懈	313
bigram	垃圾		邮件	419
bigram	城乡		居民	291
bigram	城市		发展	311
bigram	城市		居民	367
bigram	城市		建设	635
bigram	城市		管理	271
bigram	城市		规划	556
bigram	城镇		居民	467
bigram	域名		交易	292
bigram	培养		学生	494
bigram	培训		中心	450
bigram	培训		工作	274
bigram	培训		机构	331
bigram	基地		建设	257
bigram	基本		原则	537
bigram	基本		原理	249
bigram	基本		完成	338
bigram	基本		情况	463
bigram	基本		知识	247
bigram	基本		要求	390
bigram	基础		教育	368
bigram	基础		知识	482
bigram	基础		设施	1350
bigram	基金		公司	846
bigram	基金		管理	379
bigram	基金		经理	619
bigram	增值		业务	275
bigram	增值		服务	315
bigram	增长		速度	636
bigram	复合		材料	295
bigram	复旦		大学	516
bigram	外商		投资	305
bigram	外汇		储备	563
bigram	外观		设计	372
bigram	外贸		公司	325
bigram	外资		企业	523
bigram	外资		银行	491
bigram	外部		环境	247
bigram	多少		时间	249
bigram	多种		多样	288
bigram	多种		形式	445
bigram	多长		时间	709
bigram	大中		城市	291
bigram	大力		发展	802
bigram	大力		推进	375
bigram	大力		支持	762
bigram	大吃		一惊	314
bigram	大型		企业	459
bigram	大多		数人	1164
bigram	大大		小小	541
bigram	大大		提高	563
bigram	大学		教授	249
bigram	大学		毕业	788
bigram	大学		生活	329
bigram	大家		一起	777
bigram	大家		分享	545
bigram	大家		看看	349
bigram	大家		都是	516
bigram	大幅		增长	344
bigram	大打		折扣	275
bigram	大街		小巷	290
bigram	大话		西游	256
bigram	天下		第一	363
bigram	天府		新区	1600
bigram	天气		不错	1800
bigram	天气		预报	575
bigram	天涯		杂谈	303
bigram	天涯		社区	257
bigram	奋斗		目标	305
bigram	女性		朋友	292
bigram	好不		容易	1638
bigram	好久		不见	583
bigram	好久		没有	408
bigram	好好		学习	539
bigram	好的		没有	26000
bigram	如何		使用	275
bigram	如何		处理	370
bigram	如何		才能	360
bigram	如何		看待	318
bigram	如何		解决	299
bigram	如何		进行	304
bigram	妥善		处理	246
bigram	始终		保持	375
bigram	始终		坚持	339
bigram	娱乐		八卦	420
bigram	娱乐		场所	358
bigram	媒体		报道	819
bigram	字节		跳动	1600
bigram	存储		空间	925
bigram	存储		过程	286
bigram	存在		问题	409
bigram	学习		成绩	392
bigram	学习		贯彻	424
bigram	学士		学位	277
bigram	安全		事故	271
bigram	安全		卫士	388
bigram	安全		生产	1283
bigram	安全		管理	355
bigram	安全		问题	458
bigram	安全		隐患	466
bigram	安装		程序	364
bigram	完全		不同	791
bigram	完全		可以	1533
bigram	完全		没有	740
bigram	完全		相同	267
bigram	完成		任务	400
bigram	宏观		经济	572
bigram	宏观		调控	1329
bigram	官方		网站	1426
bigram	定向		增发	337
bigram	实施		办法	245
bigram	实施		方案	430
bigram	实施		细则	327
bigram	实践		活动	266
bigram	实践		经验	298
bigram	实际		工作	295
bigram	实际		情况	1414
bigram	实际		操作	317
bigram	实际		行动	474
bigram	实际		问题	250
bigram	实验		研究	414
bigram	客户		提供	743
bigram	客户		服务	446
bigram	客户		经理	248
bigram	宣传		工作	289
bigram	宣传		教育	331
bigram	宣传		活动	340
bigram	家庭		成员	299
bigram	家庭		教育	277
bigram	家庭		生活	277
bigram	家用		电器	254
bigram	容易		引起	247
bigram	密切		关注	400
bigram	密切		相关	491
bigram	密密		麻麻	283
bigram	对外		开放	704
bigram	对外		贸易	406
bigram	对话		框中	274
bigram	封建		社会	248
bigram	尊重		网上	1067
bigram	小米		汽车	1600
bigram	少年		儿童	245
bigram	少数		民族	943
bigram	就业		机会	258
bigram	就会		出现	509
bigram	就在		这里	311
bigram	就是		这样	2184
bigram	就是		那个	531
bigram	尽量		避免	335
bigram	属于		自己	1003
bigram	工业		企业	481
bigram	工业		园区	518
bigram	工业		大学	405
bigram	工业		经济	259
bigram	工业		设计	284
bigram	工人		阶级	244
bigram	工作		人员	5623
bigram	工作		任务	338
bigram	工作		会议	764
bigram	工作		单位	246
bigram	工作		压力	246
bigram	工作		原理	257
bigram	工作		岗位	477
bigram	工作		情况	291
bigram	工作		报告	349
bigram	工作		效率	382
bigram	工作		时间	559
bigram	工作		机制	266
bigram	工作		环境	389
bigram	工作		经验	885
bigram	工作		计划	289
bigram	工作		重点	330
bigram	工作		需要	244
bigram	工作		顺利	24173
bigram	工商		部门	378
bigram	工商		银行	826
bigram	工程		建设	855
bigram	工程		技术	273
bigram	工程		施工	250
bigram	工程		项目	411
bigram	左侧		排名	273
bigram	已经		完成	1500
bigram	已经		解决	25000
bigram	市场		价格	781
bigram	市场		份额	1153
bigram	市场		前景	290
bigram	市场		环境	341
bigram	市场		秩序	284
bigram	市场		竞争	927
bigram	市场		经济	2044
bigram	市场		营销	566
bigram	市场		行情	271
bigram	市场		需求	883
bigram	市委		书记	814
bigram	市委		常委	269
bigram	师范		大学	1059
bigram	希望		大家	1624
bigram	希望		能够	801
bigram	帝国		主义	521
bigram	帮助		文件	317
bigram	帮我		确认	1600
bigram	干部		群众	408
bigram	干部		职工	489
bigram	平均		工资	289
bigram	平均		水平	539
bigram	平方		公里	776
bigram	平板		电视	404
bigram	平面		设计	262
bigram	并不		一定	454
bigram	并不		代表	967
bigram	并不		知道	457
bigram	幸福		生活	328
bigram	广告		公司	524
bigram	广告		宣传	247
bigram	广大		群众	327
bigram	广播		电视	529
bigram	广泛		应用	514
bigram	广电		总局	303
bigram	应当		按照	284
bigram	应急		预案	334
bigram	应用		研究	263
bigram	应用		程序	2222
bigram	应用		系统	310
bigram	应用		软件	488
bigram	应该		可以	427
bigram	应该		注意	281
bigram	建立		健全	799
bigram	建立		自己	257
bigram	建筑		工程	321
bigram	建筑		设计	302
bigram	建筑		面积	748
bigram	建设		单位	292
bigram	建设		工程	506
bigram	建设		用地	496
bigram	建设		银行	450
bigram	建设		项目	827
bigram	开发		人员	585
bigram	开发		利用	449
bigram	开发		建设	371
bigram	开展		工作	306
bigram	开工		建设	358
bigram	开开		心心	345
bigram	引导		学生	323
bigram	弱势		群体	576
bigram	强烈		建议	318
bigram	强烈		推荐	281
bigram	强烈		要求	649
bigram	当今		世界	312
bigram	当代		中国	357
bigram	当地		政府	561
bigram	当地		时间	302
bigram	影响		因素	277
bigram	征求		意见	319
bigram	很久		以前	316
bigram	很久		没有	414
bigram	很多		东西	799
bigram	很多		事情	817
bigram	很多		人都	1119
bigram	很多		时候	1028
bigram	很有		可能	894
bigram	很有		意思	648
bigram	很长		时间	909
bigram	循环		系统	415
bigram	循环		经济	451
bigram	微软		公司	316
bigram	微量		元素	362
bigram	心情		不好	463
bigram	心理		健康	293
bigram	心理		准备	418
bigram	心理		医生	293
bigram	心理		压力	268
bigram	心理		咨询	274
bigram	心理		学家	268
bigram	心理		素质	347
bigram	快捷		方式	314
bigram	快速		发展	1285
bigram	快速		增长	844
bigram	念念		不忘	255
bigram	怎么		可能	1055
bigram	怎么		回事	1839
bigram	怎么		解决	25197
bigram	怎么		这么	657
bigram	怎样		才能	570
bigram	思维		方式	463
bigram	总体		规划	420
bigram	总有		一天	418
bigram	恐怖		主义	334
bigram	恐怖		分子	493
bigram	恐怖		袭击	258
bigram	恢复		正常	501
bigram	恭喜		恭喜	325
bigram	恶性		循环	260
bigram	恶性		肿瘤	252
bigram	您还		没有	292
bigram	情绪		价值	500
bigram	意见		建议	567
bigram	意识		形态	773
bigram	感觉		不到	349
bigram	慈善		事业	250
bigram	成为		一名	287
bigram	成为		一种	671
bigram	成为		世界	498
bigram	成为		中国	642
bigram	成功		举办	297
bigram	成功		人士	250
bigram	成功		经验	335
bigram	成立		以来	253
bigram	我不		明白	25000
bigram	我不		知道	27000
bigram	我们		什么	25000
bigram	或者		其他	488
bigram	战略		目标	288
bigram	截然		不同	456
bigram	房地		产业	716
bigram	所作		所为	302
bigram	所在		单位	280
bigram	所有		人都	826
bigram	所有		作品	583
bigram	手术		治疗	310
bigram	手机		号码	614
bigram	手机		市场	285
bigram	手机		用户	294
bigram	手机		电视	275
bigram	手机		短信	402
bigram	才是		真正	638
bigram	打个		电话	536
bigram	执法		人员	636
bigram	批发		市场	584
bigram	承受		能力	439
bigram	承担		责任	449
bigram	技术		人员	1020
bigram	技术		分析	257
bigram	技术		创新	727
bigram	技术		含量	594
bigram	技术		开发	312
bigram	技术		指标	310
bigram	技术		支持	832
bigram	技术		改造	310
bigram	技术		服务	399
bigram	技术		标准	317
bigram	技术		水平	453
bigram	技术		研究	351
bigram	技术		进步	266
bigram	技术		问题	269
bigram	抓紧		时间	371
bigram	投入		使用	364
bigram	投资		价值	447
bigram	投资		公司	384
bigram	投资		基金	249
bigram	投资		建议	392
bigram	投资		收益	401
bigram	投资		机会	304
bigram	投资		环境	426
bigram	投资		银行	321
bigram	投资		项目	400
bigram	抗日		战争	380
bigram	抗震		救灾	482
bigram	报名		参加	357
bigram	抵制		日货	287
bigram	抵押		贷款	285
bigram	招商		引资	940
bigram	招商		银行	853
bigram	招生		计划	259
bigram	持续		发展	401
bigram	持续		增长	351
bigram	指导		思想	503
bigram	按照		规定	283
bigram	接受		采访	648
bigram	控制		系统	637
bigram	控制		面板	547
bigram	控股		股东	451
bigram	推动		作用	303
bigram	推广		应用	247
bigram	提交		日期	358
bigram	提供		免费	260
bigram	提供		服务	435
bigram	提出		申请	307
bigram	提起		诉讼	246
bigram	提高		自己	283
bigram	搜狐		博客	657
bigram	搜索		引擎	2109
bigram	搜索		结果	396
bigram	搬家		公司	278
bigram	摩托		罗拉	1106
bigram	操作		权限	285
bigram	操作		系统	3170
bigram	支柱		产业	382
bigram	收入		分配	306
bigram	收费		标准	605
bigram	改变		自己	422
bigram	改善		睡眠	269
bigram	改造		工程	252
bigram	改革		发展	467
bigram	改革		开放	1907
bigram	放在		一起	289
bigram	政务		公开	288
bigram	政协		委员	766
bigram	政府		官员	534
bigram	政府		机关	282
bigram	政府		机构	262
bigram	政府		部门	1163
bigram	政府		采购	769
bigram	政策		措施	368
bigram	政策		法规	333
bigram	故事		情节	308
bigram	教学		方法	258
bigram	教学		质量	278
bigram	教育		事业	325
bigram	教育		培训	293
bigram	教育		教学	337
bigram	教育		活动	395
bigram	教育		资源	294
bigram	教育		部门	283
bigram	数字		电视	882
bigram	数据		中心	332
bigram	数据		传输	364
bigram	数据		显示	951
bigram	数据		结构	363
bigram	数码		产品	316
bigram	数码		相机	1704
